task,condition,seed_index,seed,native_effect,metric
ab_ba,uniform_inhibition,5,5,0.03823313593516753,unexpected - predicted rate
ab_ba,uniform_inhibition,6,6,0.040992406181187935,unexpected - predicted rate
ab_ba,uniform_inhibition,7,7,0.04339540363690286,unexpected - predicted rate
ab_ba,uniform_inhibition,8,8,0.03823108002731335,unexpected - predicted rate
ab_ba,uniform_inhibition,9,9,0.03983160624760007,unexpected - predicted rate
ab_ba,uniform_inhibition,10,10,0.04076060310094176,unexpected - predicted rate
ab_ba,uniform_inhibition,11,11,0.042897346778049794,unexpected - predicted rate
sfg,intact,0,0,0.016578776361484013,W_FF - W_GG
sfg,intact,1,1,0.01627611293947119,W_FF - W_GG
sfg,intact,2,2,0.014878751646907704,W_FF - W_GG
sfg,intact,3,3,0.017829256132398413,W_FF - W_GG
sfg,intact,4,4,0.013061778765688356,W_FF - W_GG
sfg,intact,5,5,0.015694319678311128,W_FF - W_GG
sfg,intact,6,6,0.016792973147443907,W_FF - W_GG
sfg,intact,7,7,0.014028553309955727,W_FF - W_GG
sfg,intact,8,8,0.014723287620039868,W_FF - W_GG
sfg,intact,9,9,0.01348910766808252,W_FF - W_GG
sfg,intact,10,10,0.015268310511945576,W_FF - W_GG
sfg,intact,11,11,0.01816387906495333,W_FF - W_GG
sfg,no_depression,0,0,0.0019695711288942874,W_FF - W_GG
sfg,no_depression,1,1,0.0016271356918373253,W_FF - W_GG
sfg,no_depression,2,2,0.0014660295889860342,W_FF - W_GG
sfg,no_depression,3,3,0.001838063057319858,W_FF - W_GG
sfg,no_depression,4,4,0.001712248907103378,W_FF - W_GG
sfg,no_depression,5,5,0.0017573890359205008,W_FF - W_GG
sfg,no_depression,6,6,0.00174881127008214,W_FF - W_GG
sfg,no_depression,7,7,0.001915141435270884,W_FF - W_GG
sfg,no_depression,8,8,0.0018804533347113045,W_FF - W_GG
sfg,no_depression,9,9,0.0018105383985025092,W_FF - W_GG
sfg,no_depression,10,10,0.0019936031349713917,W_FF - W_GG
sfg,no_depression,11,11,0.002015208268602353,W_FF - W_GG
sfg,no_recurrent_learning,0,0,0.0,W_FF - W_GG
sfg,no_recurrent_learning,1,1,0.0,W_FF - W_GG
sfg,no_recurrent_learning,2,2,0.0,W_FF - W_GG
sfg,no_recurrent_learning,3,3,0.0,W_FF - W_GG
sfg,no_recurrent_learning,4,4,0.0,W_FF - W_GG
sfg,no_recurrent_learning,5,5,0.0,W_FF - W_GG
sfg,no_recurrent_learning,6,6,0.0,W_FF - W_GG
sfg,no_recurrent_learning,7,7,0.0,W_FF - W_GG
sfg,no_recurrent_learning,8,8,0.0,W_FF - W_GG
sfg,no_recurrent_learning,9,9,0.0,W_FF - W_GG
sfg,no_recurrent_learning,10,10,0.0,W_FF - W_GG
sfg,no_recurrent_learning,11,11,0.0,W_FF - W_GG
sfg,uniform_inhibition,0,0,0.014533917081814146,W_FF - W_GG
sfg,uniform_inhibition,1,1,0.014387166626076267,W_FF - W_GG
sfg,uniform_inhibition,2,2,0.013631076821365315,W_FF - W_GG
sfg,uniform_inhibition,3,3,0.01654275898573572,W_FF - W_GG
sfg,uniform_inhibition,4,4,0.011816234096633321,W_FF - W_GG
sfg,uniform_inhibition,5,5,0.014450633514209749,W_FF - W_GG
sfg,uniform_inhibition,6,6,0.015540930130352112,W_FF - W_GG
sfg,uniform_inhibition,7,7,0.012791211345864029,W_FF - W_GG
sfg,uniform_inhibition,8,8,0.013388253871542188,W_FF - W_GG
sfg,uniform_inhibition,9,9,0.012118851361574604,W_FF - W_GG
sfg,uniform_inhibition,10,10,0.01313690626566813,W_FF - W_GG
sfg,uniform_inhibition,11,11,0.015997474347315604,W_FF - W_GG
saffran,intact,0,0,1.0,fraction of words held
saffran,intact,1,1,1.0,fraction of words held
saffran,intact,2,2,1.0,fraction of words held
saffran,intact,3,3,1.0,fraction of words held
saffran,intact,4,4,1.0,fraction of words held
saffran,intact,5,5,1.0,fraction of words held
saffran,intact,6,6,1.0,fraction of words held
saffran,intact,7,7,1.0,fraction of words held
saffran,intact,8,8,1.0,fraction of words held
saffran,intact,9,9,1.0,fraction of words held
saffran,intact,10,10,1.0,fraction of words held
saffran,intact,11,11,1.0,fraction of words held
saffran,no_depression,0,0,1.0,fraction of words held
saffran,no_depression,1,1,1.0,fraction of words held
saffran,no_depression,2,2,1.0,fraction of words held
saffran,no_depression,3,3,1.0,fraction of words held
saffran,no_depression,4,4,1.0,fraction of words held
saffran,no_depression,5,5,1.0,fraction of words held
saffran,no_depression,6,6,1.0,fraction of words held
saffran,no_depression,7,7,1.0,fraction of words held
saffran,no_depression,8,8,1.0,fraction of words held
saffran,no_depression,9,9,1.0,fraction of words held
saffran,no_depression,10,10,1.0,fraction of words held
saffran,no_depression,11,11,1.0,fraction of words held
saffran,no_recurrent_learning,0,0,1.0,fraction of words held
saffran,no_recurrent_learning,1,1,1.0,fraction of words held
saffran,no_recurrent_learning,2,2,1.0,fraction of words held
saffran,no_recurrent_learning,3,3,0.75,fraction of words held
saffran,no_recurrent_learning,4,4,1.0,fraction of words held
saffran,no_recurrent_learning,5,5,1.0,fraction of words held
saffran,no_recurrent_learning,6,6,1.0,fraction of words held
saffran,no_recurrent_learning,7,7,1.0,fraction of words held
saffran,no_recurrent_learning,8,8,1.0,fraction of words held
saffran,no_recurrent_learning,9,9,1.0,fraction of words held
saffran,no_recurrent_learning,10,10,1.0,fraction of words held
saffran,no_recurrent_learning,11,11,1.0,fraction of words held
saffran,uniform_inhibition,0,0,1.0,fraction of words held
saffran,uniform_inhibition,1,1,1.0,fraction of words held
saffran,uniform_inhibition,2,2,1.0,fraction of words held
saffran,uniform_inhibition,3,3,1.0,fraction of words held
saffran,uniform_inhibition,4,4,1.0,fraction of words held
saffran,uniform_inhibition,5,5,1.0,fraction of words held
saffran,uniform_inhibition,6,6,1.0,fraction of words held
saffran,uniform_inhibition,7,7,1.0,fraction of words held
saffran,uniform_inhibition,8,8,1.0,fraction of words held
saffran,uniform_inhibition,9,9,1.0,fraction of words held
saffran,uniform_inhibition,10,10,1.0,fraction of words held
saffran,uniform_inhibition,11,11,1.0,fraction of words held
saffran,single_rate_readout,0,0,0.0,fraction of words held
saffran,single_rate_readout,1,1,0.0,fraction of words held
saffran,single_rate_readout,2,2,0.0,fraction of words held
saffran,single_rate_readout,3,3,0.0,fraction of words held
saffran,single_rate_readout,4,4,0.0,fraction of words held
saffran,single_rate_readout,5,5,0.0,fraction of words held
saffran,single_rate_readout,6,6,0.0,fraction of words held
saffran,single_rate_readout,7,7,0.0,fraction of words held
saffran,single_rate_readout,8,8,0.0,fraction of words held
saffran,single_rate_readout,9,9,0.0,fraction of words held
saffran,single_rate_readout,10,10,0.0,fraction of words held
saffran,single_rate_readout,11,11,0.0,fraction of words held
