readout,layer1_mode,exposure,seed,n_committed,n_span,n_words_covered,max_depth,mean_depth,auc,n_rates,within_mean,boundary_mean,selectivity,mean_detector_auc,n_word_detectors,auc_len3,auc_len4
single_rate,full,structured,0,22,0,0,2,2.0,0.9810112847222222,1,0.24127979076226969,0.18938146443132323,0.12050846391467669,0.9929078014184397,4,0.9850260416666666,0.9769965277777778
single_rate,full,structured,1,18,0,0,2,2.0,0.9360894097222222,1,0.2412075466722325,0.18873774380326044,0.1220383244829678,0.9949436150299045,4,0.89453125,0.9776475694444444
single_rate,full,structured,2,21,0,0,2,2.0,0.8483615451388888,1,0.2412144803391573,0.1890782046824467,0.1211646803944458,0.9915178346833023,4,0.8030598958333334,0.8936631944444444
single_rate,full,structured,3,19,0,0,2,2.0,0.9961480034722222,1,0.24116027314766947,0.1891384912215344,0.12089688893807622,0.9934784138554306,4,0.9990234375,0.9932725694444444
single_rate,full,structured,4,19,0,0,2,2.0,0.8998480902777777,1,0.241282313100246,0.18934930811812498,0.12059728645840916,0.9991438356164384,4,0.8209635416666666,0.9787326388888888
single_rate,full,structured,5,21,0,0,2,2.0,0.8790690104166666,1,0.24124814231998792,0.18874908925167946,0.12209160713993684,0.9982517482517482,4,0.8043619791666666,0.9537760416666666
single_rate,full,structured,6,21,0,0,2,2.0,0.8325737847222223,1,0.241031198025568,0.1878935025472487,0.12388583685517622,0.9972692881500427,4,0.6888020833333334,0.9763454861111112
single_rate,full,structured,7,18,0,0,2,2.0,0.9497612847222222,1,0.24127682707594156,0.1893954329228609,0.12046606891566437,0.9959361163820367,4,0.9733072916666666,0.9262152777777778
multi_rate,full,structured,0,16,4,4,4,3.9375,0.7394748263888888,6,0.24127979076226969,0.18938146443132323,0.12050846391467669,0.982318754925138,4,0.498046875,0.9809027777777778
multi_rate,full,structured,1,17,4,4,4,4.0,0.9427625868055556,6,0.2412075466722325,0.18873774380326044,0.1220383244829678,0.9851005084072303,4,0.9150390625,0.9704861111111112
multi_rate,full,structured,2,16,4,4,4,3.9375,0.8733181423611112,6,0.2412144803391573,0.1890782046824467,0.1211646803944458,0.9684553360082748,4,0.8375651041666666,0.9090711805555556
multi_rate,full,structured,3,19,4,4,4,3.789473684210526,0.99267578125,6,0.24116027314766947,0.1891384912215344,0.12089688893807622,0.9861067899314043,4,0.9990234375,0.986328125
multi_rate,full,structured,4,17,4,4,4,4.0,0.9004991319444444,6,0.241282313100246,0.18934930811812498,0.12059728645840916,0.9881758068524213,4,0.83203125,0.9689670138888888
multi_rate,full,structured,5,19,4,4,4,4.0,0.8503689236111112,6,0.24124814231998792,0.18874908925167946,0.12209160713993684,0.9909794228759746,4,0.767578125,0.9331597222222222
multi_rate,full,structured,6,18,4,4,4,4.0,0.8251953125,6,0.241031198025568,0.1878935025472487,0.12388583685517622,0.9915148124467179,4,0.669921875,0.98046875
multi_rate,full,structured,7,15,4,4,4,4.0,0.9221462673611112,6,0.24127682707594156,0.1893954329228609,0.12046606891566437,0.9861849040691546,4,0.9501953125,0.8940972222222222
single_rate,frozen,structured,0,22,0,0,2,2.0,0.9839409722222222,1,0.0,0.0,nan,0.9946808510638298,4,0.9869791666666666,0.9809027777777778
single_rate,frozen,structured,1,18,0,0,2,2.0,0.9385308159722222,1,0.0,0.0,nan,0.9996598639455783,4,0.8922526041666666,0.9848090277777778
single_rate,frozen,structured,2,20,0,0,2,2.0,0.8892686631944444,1,0.0,0.0,nan,0.9985611510791367,4,0.8629557291666666,0.9155815972222222
single_rate,frozen,structured,3,19,0,0,2,2.0,0.9989149305555556,1,0.0,0.0,nan,0.9979082403662385,4,1.0,0.9978298611111112
single_rate,frozen,structured,4,18,0,0,2,2.0,0.9168294270833333,1,0.0,0.0,nan,0.9991438356164384,4,0.8486328125,0.9850260416666666
single_rate,frozen,structured,5,20,0,0,2,2.0,0.8914388020833333,1,0.0,0.0,nan,1.0,4,0.8219401041666666,0.9609375
single_rate,frozen,structured,6,21,0,0,2,2.0,0.8365885416666667,1,0.0,0.0,nan,0.9990942028985508,4,0.6946614583333334,0.978515625
single_rate,frozen,structured,7,18,0,0,2,2.0,0.9519314236111112,1,0.0,0.0,nan,0.9963446131140629,4,0.9733072916666666,0.9305555555555556
multi_rate,frozen,structured,0,16,4,4,4,3.9375,0.7434353298611112,6,0.0,0.0,nan,0.9822048736752385,4,0.5009765625,0.9858940972222222
multi_rate,frozen,structured,1,17,4,4,4,4.0,0.9294704861111112,6,0.0,0.0,nan,0.9896024686703707,4,0.8841145833333334,0.9748263888888888
multi_rate,frozen,structured,2,16,4,4,4,3.9375,0.8875325520833333,6,0.0,0.0,nan,0.9743527766518807,4,0.8570963541666666,0.91796875
multi_rate,frozen,structured,3,18,3,3,4,3.6666666666666665,0.8611111111111112,6,0.0,0.0,nan,0.9764791441093449,4,0.7623697916666666,0.9598524305555556
multi_rate,frozen,structured,4,17,4,4,4,4.0,0.9118381076388888,6,0.0,0.0,nan,0.9856073137017364,4,0.8473307291666666,0.9763454861111112
multi_rate,frozen,structured,5,18,4,4,4,4.0,0.89599609375,6,0.0,0.0,nan,0.9923086970500763,4,0.8277994791666666,0.9641927083333334
multi_rate,frozen,structured,6,18,4,4,4,4.0,0.8387586805555556,6,0.0,0.0,nan,0.987292199488491,4,0.6940104166666666,0.9835069444444444
multi_rate,frozen,structured,7,15,4,4,4,4.0,0.9310438368055556,6,0.0,0.0,nan,0.9820307211735855,4,0.9541015625,0.9079861111111112
single_rate,raw,structured,0,20,0,0,2,2.0,1.0,1,nan,nan,nan,1.0,4,1.0,1.0
single_rate,raw,structured,1,19,0,0,2,2.0,0.9685872395833334,1,nan,nan,nan,1.0,4,0.9514973958333334,0.9856770833333334
single_rate,raw,structured,2,19,0,0,2,2.0,0.8905164930555556,1,nan,nan,nan,1.0,4,0.837890625,0.9431423611111112
single_rate,raw,structured,3,19,0,0,2,2.0,1.0,1,nan,nan,nan,1.0,4,1.0,1.0
single_rate,raw,structured,4,18,0,0,2,2.0,0.9277886284722223,1,nan,nan,nan,1.0,4,0.8636067708333334,0.9919704861111112
single_rate,raw,structured,5,20,0,0,2,2.0,0.9270833333333333,1,nan,nan,nan,1.0,4,0.880859375,0.9733072916666666
single_rate,raw,structured,6,20,0,0,2,2.0,0.8517252604166666,1,nan,nan,nan,1.0,4,0.7184244791666666,0.9850260416666666
single_rate,raw,structured,7,18,0,0,2,2.0,0.9533962673611112,1,nan,nan,nan,1.0,4,0.9931640625,0.9136284722222222
multi_rate,raw,structured,0,15,4,4,4,3.933333333333333,0.75,6,nan,nan,nan,1.0,4,0.5,1.0
multi_rate,raw,structured,1,16,4,4,4,4.0,0.9573025173611112,6,nan,nan,nan,1.0,4,0.9169921875,0.9976128472222222
multi_rate,raw,structured,2,14,3,3,4,3.857142857142857,0.8728298611111112,6,nan,nan,nan,0.9816546762589928,4,0.9446614583333334,0.8009982638888888
multi_rate,raw,structured,3,16,3,3,4,3.6875,0.9371202256944444,6,nan,nan,nan,0.9713541666666666,3,0.8779296875,0.9963107638888888
multi_rate,raw,structured,4,15,4,4,4,4.0,0.9251844618055556,6,nan,nan,nan,1.0,4,0.8636067708333334,0.9867621527777778
multi_rate,raw,structured,5,16,4,4,4,4.0,0.9930013020833333,6,nan,nan,nan,1.0,4,0.9860026041666666,1.0
multi_rate,raw,structured,6,14,4,4,4,4.0,0.9142795138888888,6,nan,nan,nan,1.0,4,0.8287760416666666,0.9997829861111112
multi_rate,raw,structured,7,15,4,4,4,3.933333333333333,0.9289822048611112,6,nan,nan,nan,1.0,4,0.9593098958333334,0.8986545138888888
single_rate,full,scrambled,0,24,0,0,2,2.0,0.423828125,1,0.036922569087478686,0.03954151760786129,-0.03425070034272979,0.99822695035461,4,0.357421875,0.490234375
single_rate,full,scrambled,1,23,0,0,2,2.0,0.3955078125,1,0.042035964873411984,0.03556254332580358,0.08342198449214314,0.9983498349834984,4,0.3411458333333333,0.4498697916666667
single_rate,full,scrambled,2,24,0,0,2,2.0,0.48757595486111116,1,0.03687102551568447,0.03808318989801221,-0.01617206418127935,1.0,4,0.2848307291666667,0.6903211805555556
