condition,sequence,role,seed,target_response
no_recurrent_learning,BA,predicted,1,5.649610637051363
no_recurrent_learning,BA,predicted,2,5.655534911004455
no_recurrent_learning,BA,predicted,3,5.689182249159877
no_recurrent_learning,BA,predicted,4,5.6858777404959095
no_recurrent_learning,BA,predicted,5,5.667360457647764
no_recurrent_learning,BA,predicted,6,5.681137383870778
no_recurrent_learning,BA,predicted,7,5.663638351223961
no_recurrent_learning,BA,predicted,8,5.680297389729923
no_recurrent_learning,BA,predicted,9,5.702247852855674
no_recurrent_learning,BA,predicted,10,5.654598128253815
no_recurrent_learning,BA,predicted,11,5.677231196876629
no_recurrent_learning,BA,unexpected,0,5.664560498818823
no_recurrent_learning,BA,unexpected,1,5.649610637051363
no_recurrent_learning,BA,unexpected,2,5.655534911004455
no_recurrent_learning,BA,unexpected,3,5.689182249159877
no_recurrent_learning,BA,unexpected,4,5.6858777404959095
no_recurrent_learning,BA,unexpected,5,5.667360457647764
no_recurrent_learning,BA,unexpected,6,5.681137383870778
no_recurrent_learning,BA,unexpected,7,5.663638351223961
no_recurrent_learning,BA,unexpected,8,5.680297389729923
no_recurrent_learning,BA,unexpected,9,5.702247852855674
no_recurrent_learning,BA,unexpected,10,5.654598128253815
no_recurrent_learning,BA,unexpected,11,5.677231196876629
uniform_inhibition,AB,predicted,0,4.969661076913683
uniform_inhibition,AB,predicted,1,4.980711388220045
uniform_inhibition,AB,predicted,2,4.965868823298011
uniform_inhibition,AB,predicted,3,4.956169962669768
uniform_inhibition,AB,predicted,4,4.945626350607318
uniform_inhibition,AB,predicted,5,4.965410860158782
uniform_inhibition,AB,predicted,6,4.954763187642987
uniform_inhibition,AB,predicted,7,4.964647419679788
uniform_inhibition,AB,predicted,8,4.95612279240442
uniform_inhibition,AB,predicted,9,4.94035646039978
uniform_inhibition,AB,predicted,10,4.975928801297782
uniform_inhibition,AB,predicted,11,4.948200827594709
uniform_inhibition,AB,unexpected,0,4.966536959693644
uniform_inhibition,AB,unexpected,1,4.97686746781316
uniform_inhibition,AB,unexpected,2,4.9611888873330505
uniform_inhibition,AB,unexpected,3,4.950529936029895
uniform_inhibition,AB,unexpected,4,4.9406795539729025
uniform_inhibition,AB,unexpected,5,4.961315146680454
uniform_inhibition,AB,unexpected,6,4.951467071280178
uniform_inhibition,AB,unexpected,7,4.961318147041128
uniform_inhibition,AB,unexpected,8,4.9508785346761535
uniform_inhibition,AB,unexpected,9,4.937208336510209
uniform_inhibition,AB,unexpected,10,4.971302789362249
uniform_inhibition,AB,unexpected,11,4.943426123831904
uniform_inhibition,BA,predicted,0,4.957480005213814
uniform_inhibition,BA,predicted,1,4.945443757761183
uniform_inhibition,BA,predicted,2,4.945623026962104
uniform_inhibition,BA,predicted,3,4.979516750205379
uniform_inhibition,BA,predicted,4,4.973726201554695
uniform_inhibition,BA,predicted,5,4.95993068138805
uniform_inhibition,BA,predicted,6,4.971892226835231
uniform_inhibition,BA,predicted,7,4.95589151927541
uniform_inhibition,BA,predicted,8,4.9715153482506
uniform_inhibition,BA,predicted,9,4.990444406499216
uniform_inhibition,BA,predicted,10,4.948361351745932
uniform_inhibition,BA,predicted,11,4.964031286252107
uniform_inhibition,BA,unexpected,0,4.953285254546739
