sequence,sequence_time_ms,balanced_accuracy,ci95_low,ci95_high,cluster_p_fwer,cluster_significant
AB,575,0.5,0.5,0.5,1.0,0
AB,580,0.5,0.5,0.5,1.0,0
AB,585,0.5,0.5,0.5,1.0,0
AB,590,0.5,0.5,0.5,1.0,0
AB,595,0.5,0.5,0.5,1.0,0
AB,600,0.5,0.5,0.5,1.0,0
BA,0,0.5,0.5,0.5,1.0,0
BA,5,1.0,1.0,1.0,0.00048828125,1
BA,10,1.0,1.0,1.0,0.00048828125,1
BA,15,1.0,1.0,1.0,0.00048828125,1
BA,20,1.0,1.0,1.0,0.00048828125,1
BA,25,1.0,1.0,1.0,0.00048828125,1
BA,30,1.0,1.0,1.0,0.00048828125,1
BA,35,1.0,1.0,1.0,0.00048828125,1
BA,40,1.0,1.0,1.0,0.00048828125,1
BA,45,1.0,1.0,1.0,0.00048828125,1
BA,50,1.0,1.0,1.0,0.00048828125,1
BA,55,1.0,1.0,1.0,0.00048828125,1
BA,60,1.0,1.0,1.0,0.00048828125,1
BA,65,1.0,1.0,1.0,0.00048828125,1
BA,70,1.0,1.0,1.0,0.00048828125,1
BA,75,0.5,0.5,0.5,1.0,0
BA,80,1.0,1.0,1.0,0.00048828125,1
BA,85,1.0,1.0,1.0,0.00048828125,1
BA,90,1.0,1.0,1.0,0.00048828125,1
BA,95,1.0,1.0,1.0,0.00048828125,1
BA,100,1.0,1.0,1.0,0.00048828125,1
BA,105,1.0,1.0,1.0,0.00048828125,1
BA,110,1.0,1.0,1.0,0.00048828125,1
BA,115,1.0,1.0,1.0,0.00048828125,1
BA,120,1.0,1.0,1.0,0.00048828125,1
BA,125,1.0,1.0,1.0,0.00048828125,1
BA,130,1.0,1.0,1.0,0.00048828125,1
BA,135,1.0,1.0,1.0,0.00048828125,1
BA,140,1.0,1.0,1.0,0.00048828125,1
BA,145,1.0,1.0,1.0,0.00048828125,1
BA,150,1.0,1.0,1.0,0.00048828125,1
BA,155,0.5,0.5,0.5,1.0,0
BA,160,0.5,0.5,0.5,1.0,0
BA,165,0.5,0.5,0.5,1.0,0
BA,170,0.5,0.5,0.5,1.0,0
BA,175,0.5,0.5,0.5,1.0,0
BA,180,0.5,0.5,0.5,1.0,0
BA,185,0.5,0.5,0.5,1.0,0
BA,190,0.5,0.5,0.5,1.0,0
BA,195,0.5,0.5,0.5,1.0,0
BA,200,0.5,0.5,0.5,1.0,0
BA,205,0.5,0.5,0.5,1.0,0
BA,210,0.5,0.5,0.5,1.0,0
BA,215,0.5,0.5,0.5,1.0,0
BA,220,0.5,0.5,0.5,1.0,0
BA,225,0.5,0.5,0.5,1.0,0
BA,230,0.5,0.5,0.5,1.0,0
BA,235,0.5,0.5,0.5,1.0,0
