condition,n_seeds,unexpected_minus_predicted_mean,ci95_low,ci95_high
intact,12,0.16391921280934332,0.1586034639333211,0.16923496168536556
no_depression,12,0.24224589126652893,0.23313252069807322,0.25135926183498464
no_recurrent_learning,12,0.0,0.0,0.0
uniform_inhibition,12,-0.004111809574905016,-0.004325271808476457,-0.003898347341333575
