preset,plasticity,n_fig,seed,w_ff,w_gg,w_fg,w_ff_over_gg,assembly_drive,E_fig_figure,E_fig_cloud,E_gnd_figure,E_gnd_cloud,tm_fig_figure,tm_fig_cloud,tm_gnd_figure,tm_gnd_cloud,rec_fig_figure,rec_fig_cloud,rec_gnd_figure,rec_gnd_cloud,inh_fig_figure,inh_fig_cloud,inh_gnd_figure,inh_gnd_cloud,net_fig_figure,net_fig_cloud,net_gnd_figure,net_gnd_cloud
selective,plastic,4,0,0.011867031579396932,0.008278464153959868,0.008068014690764434,1.433482269017319,0.03560109473819079,2.54643991922432,2.744911598854512,2.630474254611989,2.713925881932684,7.373533206804088,7.590879990668239,7.274355117063129,7.531309011735816,0.2710996883613851,0.22272269391289695,0.20645762177774457,0.21418269573360882,3.8922651149608036,3.9646595814756274,3.82883348315747,3.969316218619228,3.7523677802046693,3.8489431031055084,3.651979255683404,3.7761754888501975
selective,plastic,4,1,0.011953772636332363,0.008279248351980299,0.007876690283195173,1.4438234158627652,0.03586131790899709,2.6445127258439625,2.5748297635561888,2.6188301866500145,2.7031309327654114,7.545519352056747,7.28953532890726,7.255802423031012,7.488294519813401,0.27085117352916743,0.21572890217748694,0.2054687278844014,0.2117355968456748,3.9289954596910843,3.9283586651592914,3.8177191768178687,3.9430436561363336,3.8873750658948287,3.5769055659254554,3.643551974097543,3.7569864605227408
selective,plastic,4,2,0.012265485874649937,0.008265647208181938,0.007964197250958732,1.4839111282790618,0.03679645762394981,2.65743991125583,2.673688967698416,2.594305395972956,2.713253351457065,7.525769937955886,7.441301196014466,7.220261034246343,7.519599195077686,0.2720491074624317,0.22122345773684082,0.20416725901809527,0.2137854187007923,3.9542382643393212,3.935832839454845,3.822324930385977,3.9509414333021757,3.843580781078997,3.726691814296462,3.6021033628784607,3.782443180476302
selective,plastic,4,3,0.011785131695860313,0.008264452479219347,0.007981489251082212,1.4260027177231136,0.03535539508758094,2.472895323535791,2.6996036371417462,2.6145246884531703,2.70151007827734,6.951828479558941,7.512793922064991,7.247285707624281,7.50926738505013,0.2697234863884792,0.22488285408425482,0.2041294165815839,0.2130243211120751,3.8839185635041558,3.947056450317749,3.7969078820945,3.9508243458579955,3.3376334024432652,3.790620325831496,3.6545072421113645,3.7714673603042086
selective,plastic,4,4,0.01119456239910358,0.008269123863410532,0.007930847386542072,1.3537785361563655,0.03358368719731074,2.3017989862750845,2.813020397943236,2.6277653634639337,2.7016740262644348,6.897916599327614,7.688293552474724,7.270877523936091,7.513951613749694,0.24586230192053796,0.21768706941218818,0.20687415467446843,0.21348674567264503,3.896029340400571,3.964311651299583,3.7940486601046546,3.95107255288796,3.2477495608475806,3.9416689705873282,3.683703018505907,3.7763658065343777
selective,plastic,4,5,0.012305163409363037,0.00825993186856616,0.007916654663817458,1.4897415142358903,0.03691549022808911,2.6079408135214326,2.7088748380568366,2.604162974732392,2.7080968568480497,7.390992068834976,7.534454960033446,7.2380973733600715,7.525275263472314,0.2682334992224217,0.21980794988996077,0.20376632254258067,0.21337229889119858,3.92806504892179,3.9480272984147433,3.8007184452356766,3.948081327512007,3.7311605191356074,3.806235611508666,3.6411452506669746,3.790566234851506
selective,plastic,4,6,0.012151228332494053,0.00826966230125231,0.00793841187281225,1.469374188430154,0.03645368499748216,2.703755028062434,2.692523605398331,2.6188889343650468,2.716701503176162,7.604933035809306,7.505065809789447,7.264387361915344,7.538400673962559,0.26940441696690454,0.21959994221471485,0.2055130669736936,0.21404424944432324,3.946936253070565,3.9625437313561553,3.813102670669246,3.9607460468890627,3.927401199705646,3.762122020648006,3.656797758219793,3.791698876517819
selective,plastic,4,7,0.01101586808639722,0.00829498862435331,0.007876318765697412,1.3280148515280255,0.03304760425919166,2.304086689428283,2.7781918810737807,2.6492874490517297,2.7193903351138387,6.930738759790355,7.613081848833133,7.2856706638875055,7.550963792267903,0.2446599939977008,0.2120301715560057,0.2067103260394192,0.21445998040707348,3.8454098003753128,3.9756442693166556,3.8033727039880803,3.9669615655035964,3.3299889534127436,3.8494677510724835,3.6890082859388444,3.7984622071713803
selective,plastic,6,0,0.0117864657637102,0.008298864633278316,0.008001650921106477,1.420250393824555,0.058932328818551004,2.575613790410806,2.745549841275353,2.6358391586992544,2.710974593611719,7.405251162734553,7.5666104352993555,7.269183522681781,7.5335411365745175,0.32203755578958904,0.22992917256849782,0.20535338977537823,0.21269817994369608,3.9736451367714665,3.9641925501082262,3.81617340010857,3.9723860550669032,3.753643581752675,3.8323470577596277,3.6583635123485907,3.7738532614513134
selective,plastic,6,1,0.011769955882987149,0.008316212228252295,0.00778983545624047,1.4153024910790042,0.05884977941493574,2.6392104209150027,2.597825750047514,2.627180115825022,2.7023860027924798,7.552851689506771,7.288507756404863,7.263859109069815,7.490166665583709,0.3180448806359999,0.22118263204998118,0.20358882388817431,0.2104225960769674,4.029056459338183,3.908531336801338,3.8046990853123384,3.943439956936362,3.841840110804588,3.601159051653506,3.66274884764565,3.757149304724314
selective,plastic,6,2,0.011950322942928342,0.00830189731579498,0.00784448019729591,1.4394688934771527,0.059751614714641715,2.6345614419326595,2.6814393199197517,2.5955240894033684,2.7117001970044465,7.507185314811039,7.447348101268426,7.215961994790928,7.518707342682423,0.31821603721428215,0.22843523003560934,0.20290226948822113,0.21195500767663772,4.05335117301613,3.9363986788528393,3.8147938556895236,3.95042391139008,3.7720501790091916,3.7393846524511964,3.604070408589626,3.780238438968984
selective,plastic,6,3,0.011572269260331274,0.008292240318935022,0.007898515922664866,1.3955540137815865,0.05786134630165637,2.4548167479969507,2.680846648862379,2.6192724846232887,2.700811518548298,6.928607575269539,7.441044019473873,7.243540303642773,7.512733285420988,0.3094486928582355,0.227792701206686,0.202522822351481,0.21161266372088713,3.973125672320658,3.9332070611758576,3.790421256909311,3.949828268315444,3.264930595807116,3.7356296595047014,3.655641869084944,3.774517680826431
selective,plastic,6,4,0.011071803933689473,0.008301270238827606,0.007845105311483502,1.3337481632513568,0.05535901966844736,2.3014331064104363,2.7988530903321456,2.643775365757379,2.6987481504469466,6.892737118513988,7.691249666916866,7.277387171270322,7.509596585559963,0.2850084935001136,0.2231935946133934,0.20495012545856045,0.2123187819532392,3.967821200378056,3.9664168868228984,3.7687532384237157,3.955098045765297,3.209924411636046,3.9480263747073607,3.713584058305167,3.7668173217479035
