time_ms,delta_E_A,delta_E_B,delta_I_A,delta_I_B,delta_W_A_to_B,delta_W_B_to_A
10,0.03140575910893606,0.2708244997879731,-0.00014350327178544453,0.006015675746364805,0.211734444163774,-0.21301379937144257
45,0.022752853752784574,1.1671796135390031,0.0216490439840753,0.1338615118968673,0.211734444163774,-0.21301379937144257
65,-0.055901281226194977,0.30733761125578646,0.02517054166614341,0.18137681863800062,0.211734444163774,-0.21301379937144257
105,0.0,-0.33016210063412643,0.011016597764112124,0.08731788245662808,0.211734444163774,-0.21301379937144257
