deviant_position,channel_matlab,time_ms,rep1_mean_smoothed,rep1_sem_smoothed,rep15_mean_smoothed,rep15_sem_smoothed,raw_rep1_minus_rep15,raw_paired_t,cluster_p_corrected,cluster_significant
1,27,0,0.0001217776952183891,0.16979037235691033,-0.08692191060594397,0.15190366985886716,0.1200863952573803,0.5300301410784352,1.0,False
1,27,1,-0.007605373153619322,0.17097417092532755,-0.07759007948236635,0.15068079118300898,0.11354774993630351,0.47496765337732566,1.0,False
1,27,2,-0.021721545107949193,0.17353034848687876,-0.06096897882874093,0.14986610273985712,0.06876899438287197,0.2788810349945396,1.0,False
1,27,3,-0.03904225355515589,0.1772408707431712,-0.041254940496490665,0.15111560649614653,-0.003418834189713025,-0.01365629031841582,1.0,False
1,27,4,-0.054393189086337265,0.181550258854756,-0.024006832556375386,0.15478910835325418,-0.07425202854389826,-0.29499381461467694,1.0,False
1,27,5,-0.06176096418564749,0.18610407229514744,-0.014248908895640656,0.16004225234637579,-0.1151458407901395,-0.45793061001196594,1.0,False
1,27,6,-0.05668691933815149,0.19080973585827832,-0.014678688716575908,0.16563110469517534,-0.10913626878558141,-0.43282616869835183,1.0,False
1,27,7,-0.038607665414342816,0.1955018422572804,-0.025193907897879064,0.17045103768184391,-0.056961686066648504,-0.2229511519588949,1.0,False
1,27,8,-0.01147282050298034,0.19976973296615416,-0.04366993892074413,0.17368344414841574,0.02158715807937135,0.0832300753291578,1.0,False
1,27,9,0.018234854816557063,0.20305345824518564,-0.0667804358283923,0.17486456985703255,0.10087008924705888,0.3858598726588907,1.0,False
1,27,10,0.04574076846106429,0.2048059007376033,-0.08951236701652475,0.17400682150468766,0.1652151297115731,0.6327009500027196,1.0,False
1,27,11,0.07326163166889589,0.20463122568852113,-0.10294863115964413,0.17171333738434408,0.21021585423574776,0.809497969440537,1.0,False
1,27,12,0.11437113285956416,0.20244935081988535,-0.09160043339320079,0.16920946909032594,0.23478747733147567,0.9047224087135874,1.0,False
1,27,13,0.19439316429842207,0.19898288034002456,-0.03328921462232055,0.1682890544542236,0.23803204159960314,0.9132765185033046,1.0,False
1,27,14,0.34311847176403915,0.19712328003652144,0.09509605476703689,0.17137367504907539,0.22688103464983522,0.8742664285564035,1.0,False
1,27,15,0.5783522942652207,0.20305550288713875,0.3050380641092315,0.181402171031688,0.2269118678986308,0.8887285755892452,1.0,False
1,27,16,0.8852641231078768,0.22197099571970805,0.5811012971427871,0.1997510188793381,0.27251379526298897,1.0565434734919894,1.0,False
1,27,17,1.203903508102812,0.24861619125862233,0.87190073828391,0.22217422070342696,0.3660469541123853,1.2941664071902648,1.0,False
1,27,18,1.4378902006647267,0.2669701183241722,1.096644890364396,0.23815852686697928,0.44933753014064537,1.383656119067862,1.0,False
1,27,19,1.486235566531773,0.26207245332027057,1.169401090502012,0.23690985588825966,0.44501824708099313,1.2639555993217548,1.0,False
1,27,20,1.283309688655394,0.23362231743470696,1.0313502247927213,0.2166058482124202,0.33759050735687796,0.9918461847440588,1.0,False
1,27,21,0.8236560802688778,0.2066867497457488,0.6734057290077438,0.19235397438149474,0.1863711799642811,0.6139051688873105,1.0,False
1,27,22,0.15793374749791536,0.22194949244040596,0.13575149246288715,0.19287800132730853,0.043929526145448476,0.1509093056174629,1.0,False
1,27,23,-0.6335902605519335,0.2809691963857396,-0.5141524877454092,0.2286742604514579,-0.10285280447168235,-0.3250859075208672,1.0,False
1,27,24,-1.4703558988862702,0.35110505142291865,-1.2093561367394634,0.2804746391114055,-0.2800723856775184,-0.8283864750131986,1.0,False
1,27,25,-2.287415535756175,0.41190799353286595,-1.8996864918881853,0.3302530428301758,-0.4590698963953176,-1.3336802227853104,1.0,False
1,27,26,-3.035558370103329,0.45757479409928037,-2.550736231171236,0.37040214887396455,-0.5894934325366511,-1.6552733711774192,1.0,False
1,27,27,-3.6745997696470862,0.4878569211658769,-3.1335175894590095,0.3983017069600252,-0.6542015391596586,-1.7327183360568041,1.0,False
1,27,28,-4.17038225225459,0.502682681753301,-3.617267250947057,0.41239581813374315,-0.6546275911776115,-1.6590799527571896,1.0,False
1,27,29,-4.499430697946198,0.5016832556600549,-3.9716118152393136,0.41163102242082966,-0.5911067291858803,-1.4479557224449229,1.0,False
1,27,30,-4.6567672367392365,0.486326425348612,-4.1748244593670645,0.396867352364555,-0.4809008909095026,-1.129910441769469,1.0,False
1,27,31,-4.6588441389880435,0.4611720063811946,-4.220765179859454,0.3719280416678813,-0.3662818936820363,-0.8338612345211323,1.0,False
1,27,32,-4.537443661165235,0.4325914939021186,-4.120251440449415,0.342647422005357,-0.29838403777914924,-0.6728520798194667,1.0,False
1,27,33,-4.327815751450687,0.40588824778427873,-3.8980833322704513,0.3143529084180493,-0.31810907727079646,-0.7222430149880812,1.0,False
1,27,34,-4.058596207899174,0.3832103033659164,-3.589000489964054,0.289917050827459,-0.43120594595354783,-1.0065485715787637,1.0,False
1,27,35,-3.7490167449208185,0.3639280070619928,-3.233733365232015,0.27000411625441556,-0.5843322473237123,-1.4350193612560926,1.0,False
1,27,36,-3.413010944772224,0.34668087179634105,-2.8738527944659134,0.2545974015834366,-0.6856612134507041,-1.7884483370536748,1.0,False
1,27,37,-3.0650420743192592,0.33102064447106677,-2.544605889948264,0.24386863783424761,-0.6719621137748859,-1.8477829551921297,1.0,False
1,27,38,-2.722330460105875,0.31756627742601684,-2.2676718122067974,0.23797473265218985,-0.5487220241358254,-1.556118576620731,1.0,False
1,27,39,-2.4022158875010593,0.30704245128430974,-2.047587559749309,0.23638105324161846,-0.3682742342451601,-1.0475155537235146,1.0,False
1,27,40,-2.1178080036559774,0.2994306227206056,-1.8744123937186608,0.23747016036853963,-0.19035501191161955,-0.535798351747177,1.0,False
1,27,41,-1.876026233099005,0.29411195144747604,-1.7317649290151387,0.23923405607589593,-0.05738920715898459,-0.16088683179194427,1.0,False
