analysis,condition,repetition,mean,sem,p_corrected,significant
rnn_percent_change_from_rep1,uniform_inhibition,7,-25.20503420397404,0.23122474381366365,0.0078125,True
rnn_percent_change_from_rep1,uniform_inhibition,8,-26.373156813545066,0.24185618608569967,0.0078125,True
rnn_percent_change_from_rep1,uniform_inhibition,9,-27.2184236845956,0.24950633234145417,0.0078125,True
rnn_percent_change_from_rep1,uniform_inhibition,10,-27.826514492394974,0.2549666632841352,0.0078125,True
rnn_percent_change_from_rep1,uniform_inhibition,11,-28.2606295776638,0.2588216535610364,0.0078125,True
rnn_percent_change_from_rep1,uniform_inhibition,12,-28.56734090067833,0.2615024435210518,0.0078125,True
rnn_percent_change_from_rep1,uniform_inhibition,13,-28.780937657148282,0.2633266666335529,0.0078125,True
rnn_percent_change_from_rep1,uniform_inhibition,14,-28.92664588870209,0.2645281059654743,0.0078125,True
rnn_percent_change_from_rep1,uniform_inhibition,15,-29.023009550153905,0.2652786330009389,0.0078125,True
rnn_suppression_index_vs_zero,uniform_inhibition,,0.2903196895444166,0.0026530578704004777,0.0078125,True
rnn_suppression_index_vs_intact,uniform_inhibition,,-6.175194301329123e-06,7.649831588860863e-06,0.578125,False
