condition,n_order_seeds,mean_suppression_index,ci95_low,ci95_high,jointly_corrected_significant_vs_intact
intact,8,0.29764001689852043,0.290942646030643,0.30433738776639785,False
no_depression,8,-0.01295015555146168,-0.013092699359044176,-0.012807611743879184,True
plasticity_frozen,8,0.3058766916592152,0.29935351806191984,0.3123998652565106,True
uniform_inhibition,8,0.29818502617823983,0.2914747341884906,0.30489531816798904,True
