deviant_position,repetition,normalized_rep1_to_rep15
1,1,1.0
1,2,0.5511478731158557
1,3,0.26665522926077406
1,4,0.23088466415134687
1,5,0.32411442287076453
1,6,0.3840797296028571
1,7,0.27920601157191377
1,8,0.18316126733155513
1,9,0.195974540015844
1,10,0.12698394217215503
1,11,-0.016227945745348433
1,12,-0.1566484693208543
1,13,-0.18588358083965748
1,14,-0.10814649806660652
1,15,0.0
2,1,1.0
2,2,0.6503890690260734
2,3,0.42287361099795684
2,4,0.3507968303275829
2,5,0.30417476762248885
2,6,0.28276199520275697
2,7,0.235260370899872
2,8,0.1942665564143536
2,9,0.19163955053390386
2,10,0.15700535480268124
2,11,0.14548632902201622
2,12,0.20184799383338958
2,13,0.18305366283298283
2,14,0.09429170226126722
2,15,0.0
3,1,1.0
3,2,0.6405472608926571
3,3,0.4375745619473514
3,4,0.3764692621547578
3,5,0.32485579089434463
3,6,0.22524045563411085
3,7,0.14697320001104136
3,8,0.08245289743674564
3,9,0.05176063851395548
3,10,0.008409735648434932
3,11,0.04078904070082557
3,12,0.12266417406524982
3,13,0.09467218627098999
3,14,0.02284050510879529
3,15,0.0
