deviant_position,channel,relative_abs_activation
1,1,0.5608994652091835
1,2,0.702731452485597
1,3,0.7767009312832737
1,4,0.8524428688132403
1,5,0.566453943858518
1,6,0.6729534694740494
1,7,0.682254854080752
1,8,0.7213758162032196
1,9,0.6597458423691416
1,10,0.7186251953040572
1,11,0.6509938308675884
1,12,0.5697072039342673
1,13,0.6917920137836041
1,14,0.6514083475572456
1,15,0.5274229786934188
1,16,0.5657718836046965
1,17,0.7301613748355242
1,18,0.653652071344597
1,19,0.6421380622719158
1,20,0.8069001122884261
1,21,0.8651195211592954
1,22,0.7115029531830868
1,23,0.8406384898292808
1,24,0.9892398954723962
1,25,0.881454203528594
1,26,0.7606186045564568
1,27,1.0
1,28,0.9608445802912774
1,29,0.8935974918481967
1,30,0.9592762972051174
1,31,0.9567951255024949
1,32,0.8152849398019442
2,1,0.4942374894535083
2,2,0.34101942978170524
2,3,0.19331413479447665
2,4,0.2880210375551636
2,5,0.3008073903950635
2,6,0.4323229467128532
2,7,0.39248495171617126
2,8,0.2965255863489867
2,9,0.21744700960685145
2,10,0.7570242165267668
2,11,0.5276962623938567
2,12,1.0
2,13,0.2534434304320761
2,14,0.5015573567271048
2,15,0.29030745281386283
2,16,0.8857266678396897
2,17,0.4908915010766338
2,18,0.5702717690094865
2,19,0.6138509732252995
2,20,0.5169094779598477
2,21,0.3449881604528379
2,22,0.7846795444959956
2,23,0.6541541537025786
2,24,0.25954277866107217
2,25,0.43051074189337607
2,26,0.4330499838096229
2,27,0.4846105003428849
2,28,0.2830364440918437
2,29,0.4150393212529059
2,30,0.42814573993496513
2,31,0.360938815470735
2,32,0.2950589984644475
3,1,0.721416454535756
3,2,0.7037807360205773
3,3,0.6750513843592177
3,4,0.6879419542336528
3,5,0.7225271260663632
3,6,0.49509249269093264
3,7,0.4538772934576181
3,8,0.5878655282820652
3,9,0.7335529750146482
3,10,0.6843225088864295
3,11,0.5954796017244836
3,12,0.545389231444466
3,13,0.6874967246782232
3,14,0.8513827974188578
3,15,0.6094905917673812
3,16,0.5991204941404047
3,17,0.5580205124539379
3,18,1.0
3,19,0.7416217477927353
3,20,0.5141658768367293
3,21,0.7643786625695084
3,22,0.894732377722091
3,23,0.9022187545398401
3,24,0.5016558413785966
3,25,0.48397752925607007
3,26,0.464975462710854
3,27,0.36061090407834134
3,28,0.5710662741883742
3,29,0.5060586841448046
3,30,0.5287076581016741
3,31,0.5083413648096151
3,32,0.6207317155761417
