deviant_position,roving_block,repetition,mean_single_block_gfp_0_180_ms
1,59,7,1.3468235732653335
1,59,8,1.4889321654252412
1,59,9,1.2082906710320418
1,59,10,1.2466455509593066
1,59,11,1.233930874151001
1,59,12,1.0859938116766716
1,59,13,1.3174854401034248
1,59,14,0.9277581482370436
1,59,15,1.133493294655424
1,60,1,1.3061108767599896
1,60,2,1.6355080610924921
1,60,3,1.1755493043088237
1,60,4,1.3007018630466833
1,60,5,1.443212149712714
1,60,6,1.260160516424346
1,60,7,1.6799460074547086
1,60,8,1.5075494109320833
1,60,9,1.0933499409080747
1,60,10,1.352489033336302
1,60,11,1.129141570384165
1,60,12,1.011047914724236
1,60,13,1.5206577926711558
1,60,14,1.427581991427163
1,60,15,1.590612403897495
1,61,1,1.7984394744696053
1,61,2,1.1989502717983782
1,61,3,1.178079000321663
1,61,4,1.3438982176525607
1,61,5,1.6082304669902867
1,61,6,1.3917076327255313
1,61,7,0.9130435927625515
1,61,8,1.6021694782983396
1,61,9,1.2203600525227178
1,61,10,1.6340672500797728
1,61,11,1.3722973781934538
1,61,12,1.1778026865338405
1,61,13,1.2928514408576832
1,61,14,1.449782127667259
1,61,15,1.9228655135150177
1,62,1,1.2994745205786797
1,62,2,1.4685311017782043
1,62,3,1.4070141727605685
1,62,4,0.9233638768659608
1,62,5,1.6301837821464369
1,62,6,1.1881664832747585
1,62,7,1.220566857592137
1,62,8,1.302488993301436
1,62,9,1.1170996832642215
1,62,10,1.4525628462255067
1,62,11,1.1987729770029312
1,62,12,1.0937860833537572
1,62,13,1.3197793275421699
